gs_name,gs_collection,gs_subcollection,gene_symbol,ensembl_gene
HALLMARK_HYPOXIA,H,,ACKR3,ENSG00000144476
HALLMARK_HYPOXIA,H,,ADM,ENSG00000148926
HALLMARK_HYPOXIA,H,,ADORA2B,ENSG00000170425
HALLMARK_HYPOXIA,H,,AK4,ENSG00000162433
HALLMARK_HYPOXIA,H,,AKAP12,ENSG00000131016
HALLMARK_HYPOXIA,H,,ALDOA,ENSG00000149925
HALLMARK_HYPOXIA,H,,ALDOB,ENSG00000136872
HALLMARK_HYPOXIA,H,,ALDOC,ENSG00000109107
HALLMARK_HYPOXIA,H,,AMPD3,ENSG00000133805
HALLMARK_HYPOXIA,H,,ANGPTL4,ENSG00000167772
HALLMARK_HYPOXIA,H,,ANKZF1,ENSG00000163516
HALLMARK_HYPOXIA,H,,ANXA2,ENSG00000182718
HALLMARK_HYPOXIA,H,,ATF3,ENSG00000162772
HALLMARK_HYPOXIA,H,,ATP7A,ENSG00000165240
HALLMARK_HYPOXIA,H,,B3GALT6,ENSG00000176022
HALLMARK_HYPOXIA,H,,B4GALNT2,ENSG00000167080
HALLMARK_HYPOXIA,H,,BCAN,ENSG00000132692
HALLMARK_HYPOXIA,H,,BCL2,ENSG00000171791
HALLMARK_HYPOXIA,H,,BGN,ENSG00000182492
HALLMARK_HYPOXIA,H,,BHLHE40,ENSG00000134107
HALLMARK_HYPOXIA,H,,BNIP3L,ENSG00000104765
HALLMARK_HYPOXIA,H,,BRS3,ENSG00000102239
HALLMARK_HYPOXIA,H,,BTG1,ENSG00000133639
HALLMARK_HYPOXIA,H,,CA12,ENSG00000074410
HALLMARK_HYPOXIA,H,,CASP6,ENSG00000138794
HALLMARK_HYPOXIA,H,,CAV1,ENSG00000105974
HALLMARK_HYPOXIA,H,,CAVIN1,ENSG00000177469
HALLMARK_HYPOXIA,H,,CAVIN3,ENSG00000170955
HALLMARK_HYPOXIA,H,,CCN1,ENSG00000142871
HALLMARK_HYPOXIA,H,,CCN2,ENSG00000118523
HALLMARK_HYPOXIA,H,,CCN5,ENSG00000064205
HALLMARK_HYPOXIA,H,,CCNG2,ENSG00000138764
HALLMARK_HYPOXIA,H,,CDKN1A,ENSG00000124762
HALLMARK_HYPOXIA,H,,CDKN1B,ENSG00000111276
HALLMARK_HYPOXIA,H,,CDKN1C,ENSG00000129757
HALLMARK_HYPOXIA,H,,CHST2,ENSG00000175040
HALLMARK_HYPOXIA,H,,CHST3,ENSG00000122863
HALLMARK_HYPOXIA,H,,CITED2,ENSG00000164442
HALLMARK_HYPOXIA,H,,COL5A1,ENSG00000130635
HALLMARK_HYPOXIA,H,,CP,ENSG00000047457
HALLMARK_HYPOXIA,H,,CSRP2,ENSG00000175183
HALLMARK_HYPOXIA,H,,CXCR4,ENSG00000121966
HALLMARK_HYPOXIA,H,,DCN,ENSG00000011465
HALLMARK_HYPOXIA,H,,DDIT3,ENSG00000175197
HALLMARK_HYPOXIA,H,,DDIT4,ENSG00000168209
HALLMARK_HYPOXIA,H,,DPYSL4,ENSG00000151640
HALLMARK_HYPOXIA,H,,DTNA,ENSG00000134769
HALLMARK_HYPOXIA,H,,DUSP1,ENSG00000120129
HALLMARK_HYPOXIA,H,,EDN2,ENSG00000127129
HALLMARK_HYPOXIA,H,,EFNA1,ENSG00000169242
HALLMARK_HYPOXIA,H,,EFNA3,ENSG00000143590
HALLMARK_HYPOXIA,H,,EGFR,ENSG00000146648
HALLMARK_HYPOXIA,H,,ENO1,ENSG00000074800
HALLMARK_HYPOXIA,H,,ENO2,ENSG00000111674
HALLMARK_HYPOXIA,H,,ENO3,ENSG00000108515
HALLMARK_HYPOXIA,H,,ERO1A,ENSG00000197930
HALLMARK_HYPOXIA,H,,ERRFI1,ENSG00000116285
HALLMARK_HYPOXIA,H,,ETS1,ENSG00000134954
HALLMARK_HYPOXIA,H,,EXT1,ENSG00000182197
HALLMARK_HYPOXIA,H,,F3,ENSG00000117525
HALLMARK_HYPOXIA,H,,FAM162A,ENSG00000114023
HALLMARK_HYPOXIA,H,,FBP1,ENSG00000165140
HALLMARK_HYPOXIA,H,,FOS,ENSG00000170345
HALLMARK_HYPOXIA,H,,FOSL2,ENSG00000075426
HALLMARK_HYPOXIA,H,,FOXO3,ENSG00000118689
HALLMARK_HYPOXIA,H,,GAA,ENSG00000171298
HALLMARK_HYPOXIA,H,,GALK1,ENSG00000108479
HALLMARK_HYPOXIA,H,,GAPDH,ENSG00000111640
HALLMARK_HYPOXIA,H,,GAPDHS,ENSG00000105679
HALLMARK_HYPOXIA,H,,GBE1,ENSG00000114480
HALLMARK_HYPOXIA,H,,GCK,ENSG00000106633
HALLMARK_HYPOXIA,H,,GCNT2,ENSG00000111846
HALLMARK_HYPOXIA,H,,GLRX,ENSG00000173221
HALLMARK_HYPOXIA,H,,GPC1,ENSG00000063660
HALLMARK_HYPOXIA,H,,GPC3,ENSG00000147257
HALLMARK_HYPOXIA,H,,GPC4,ENSG00000076716
HALLMARK_HYPOXIA,H,,GPI,ENSG00000105220
HALLMARK_HYPOXIA,H,,GRHPR,ENSG00000137106
HALLMARK_HYPOXIA,H,,GYS1,ENSG00000104812
HALLMARK_HYPOXIA,H,,HAS1,ENSG00000105509
HALLMARK_HYPOXIA,H,,HDLBP,ENSG00000115677
HALLMARK_HYPOXIA,H,,HEXA,ENSG00000213614
HALLMARK_HYPOXIA,H,,HK1,ENSG00000156515
HALLMARK_HYPOXIA,H,,HK2,ENSG00000159399
HALLMARK_HYPOXIA,H,,HMOX1,ENSG00000100292
HALLMARK_HYPOXIA,H,,HOXB9,ENSG00000170689
HALLMARK_HYPOXIA,H,,HS3ST1,ENSG00000002587
HALLMARK_HYPOXIA,H,,HSPA5,ENSG00000044574
HALLMARK_HYPOXIA,H,,IDS,ENSG00000010404
HALLMARK_HYPOXIA,H,,IER3,ENSG00000137331
HALLMARK_HYPOXIA,H,,IGFBP1,ENSG00000146678
HALLMARK_HYPOXIA,H,,IGFBP3,ENSG00000146674
HALLMARK_HYPOXIA,H,,IL6,ENSG00000136244
HALLMARK_HYPOXIA,H,,ILVBL,ENSG00000105135
HALLMARK_HYPOXIA,H,,INHA,ENSG00000123999
HALLMARK_HYPOXIA,H,,IRS2,ENSG00000185950
HALLMARK_HYPOXIA,H,,ISG20,ENSG00000172183
HALLMARK_HYPOXIA,H,,JMJD6,ENSG00000070495
HALLMARK_HYPOXIA,H,,JUN,ENSG00000177606
HALLMARK_HYPOXIA,H,,KDELR3,ENSG00000100196
HALLMARK_HYPOXIA,H,,KDM3A,ENSG00000115548
HALLMARK_HYPOXIA,H,,KIF5A,ENSG00000155980
HALLMARK_HYPOXIA,H,,KLF6,ENSG00000067082
HALLMARK_HYPOXIA,H,,KLF7,ENSG00000118263
HALLMARK_HYPOXIA,H,,KLHL24,ENSG00000114796
HALLMARK_HYPOXIA,H,,LALBA,ENSG00000167531
HALLMARK_HYPOXIA,H,,LARGE1,ENSG00000133424
HALLMARK_HYPOXIA,H,,LDHA,ENSG00000134333
HALLMARK_HYPOXIA,H,,LDHC,ENSG00000166796
HALLMARK_HYPOXIA,H,,LOX,ENSG00000113083
HALLMARK_HYPOXIA,H,,LXN,ENSG00000079257
HALLMARK_HYPOXIA,H,,MAFF,ENSG00000185022
HALLMARK_HYPOXIA,H,,MAP3K1,ENSG00000095015
HALLMARK_HYPOXIA,H,,MIF,ENSG00000240972
HALLMARK_HYPOXIA,H,,MT1E,ENSG00000169715
HALLMARK_HYPOXIA,H,,MT2A,ENSG00000125148
HALLMARK_HYPOXIA,H,,MXI1,ENSG00000119950
HALLMARK_HYPOXIA,H,,MYH9,ENSG00000100345
HALLMARK_HYPOXIA,H,,NAGK,ENSG00000124357
HALLMARK_HYPOXIA,H,,NCAN,ENSG00000130287
HALLMARK_HYPOXIA,H,,NDRG1,ENSG00000104419
HALLMARK_HYPOXIA,H,,NDST1,ENSG00000070614
HALLMARK_HYPOXIA,H,,NDST2,ENSG00000166507
HALLMARK_HYPOXIA,H,,NEDD4L,ENSG00000049759
HALLMARK_HYPOXIA,H,,NFIL3,ENSG00000165030
HALLMARK_HYPOXIA,H,,NOCT,ENSG00000151014
HALLMARK_HYPOXIA,H,,NR3C1,ENSG00000113580
HALLMARK_HYPOXIA,H,,P4HA1,ENSG00000122884
HALLMARK_HYPOXIA,H,,P4HA2,ENSG00000072682
HALLMARK_HYPOXIA,H,,PAM,ENSG00000145730
HALLMARK_HYPOXIA,H,,PCK1,ENSG00000124253
HALLMARK_HYPOXIA,H,,PDGFB,ENSG00000100311
HALLMARK_HYPOXIA,H,,PDK1,ENSG00000152256
HALLMARK_HYPOXIA,H,,PDK3,ENSG00000067992
HALLMARK_HYPOXIA,H,,PFKFB3,ENSG00000170525
HALLMARK_HYPOXIA,H,,PFKL,ENSG00000141959
HALLMARK_HYPOXIA,H,,PFKP,ENSG00000067057
HALLMARK_HYPOXIA,H,,PGAM2,ENSG00000164708
HALLMARK_HYPOXIA,H,,PGF,ENSG00000119630
HALLMARK_HYPOXIA,H,,PGK1,ENSG00000102144
HALLMARK_HYPOXIA,H,,PGM1,ENSG00000079739
HALLMARK_HYPOXIA,H,,PGM2,ENSG00000169299
HALLMARK_HYPOXIA,H,,PHKG1,ENSG00000164776
HALLMARK_HYPOXIA,H,,PIM1,ENSG00000137193
HALLMARK_HYPOXIA,H,,PKLR,ENSG00000143627
HALLMARK_HYPOXIA,H,,PKP1,ENSG00000081277
HALLMARK_HYPOXIA,H,,PLAC8,ENSG00000145287
HALLMARK_HYPOXIA,H,,PLAUR,ENSG00000011422
HALLMARK_HYPOXIA,H,,PLIN2,ENSG00000147872
HALLMARK_HYPOXIA,H,,PNRC1,ENSG00000146278
HALLMARK_HYPOXIA,H,,PPARGC1A,ENSG00000109819
HALLMARK_HYPOXIA,H,,PPFIA4,ENSG00000143847
HALLMARK_HYPOXIA,H,,PPP1R15A,ENSG00000087074
HALLMARK_HYPOXIA,H,,PPP1R3C,ENSG00000119938
HALLMARK_HYPOXIA,H,,PRDX5,ENSG00000126432
HALLMARK_HYPOXIA,H,,PRKCA,ENSG00000154229
HALLMARK_HYPOXIA,H,,PYGM,ENSG00000068976
HALLMARK_HYPOXIA,H,,RBPJ,ENSG00000168214
HALLMARK_HYPOXIA,H,,RORA,ENSG00000069667
HALLMARK_HYPOXIA,H,,RRAGD,ENSG00000025039
HALLMARK_HYPOXIA,H,,S100A4,ENSG00000196154
HALLMARK_HYPOXIA,H,,SAP30,ENSG00000164105
HALLMARK_HYPOXIA,H,,SCARB1,ENSG00000073060
HALLMARK_HYPOXIA,H,,SDC2,ENSG00000169439
HALLMARK_HYPOXIA,H,,SDC3,ENSG00000162512
HALLMARK_HYPOXIA,H,,SDC4,ENSG00000124145
HALLMARK_HYPOXIA,H,,SELENBP1,ENSG00000143416
HALLMARK_HYPOXIA,H,,SERPINE1,ENSG00000106366
HALLMARK_HYPOXIA,H,,SIAH2,ENSG00000181788
HALLMARK_HYPOXIA,H,,SLC25A1,ENSG00000100075
HALLMARK_HYPOXIA,H,,SLC2A1,ENSG00000117394
HALLMARK_HYPOXIA,H,,SLC2A3,ENSG00000059804
HALLMARK_HYPOXIA,H,,SLC2A5,ENSG00000142583
HALLMARK_HYPOXIA,H,,SLC37A4,ENSG00000137700
HALLMARK_HYPOXIA,H,,SLC6A6,ENSG00000131389
HALLMARK_HYPOXIA,H,,SRPX,ENSG00000101955
HALLMARK_HYPOXIA,H,,STBD1,ENSG00000118804
HALLMARK_HYPOXIA,H,,STC1,ENSG00000159167
HALLMARK_HYPOXIA,H,,STC2,ENSG00000113739
HALLMARK_HYPOXIA,H,,SULT2B1,ENSG00000088002
HALLMARK_HYPOXIA,H,,TES,ENSG00000135269
HALLMARK_HYPOXIA,H,,TGFB3,ENSG00000119699
HALLMARK_HYPOXIA,H,,TGFBI,ENSG00000120708
HALLMARK_HYPOXIA,H,,TGM2,ENSG00000198959
HALLMARK_HYPOXIA,H,,TIPARP,ENSG00000163659
HALLMARK_HYPOXIA,H,,TKTL1,ENSG00000007350
HALLMARK_HYPOXIA,H,,TMEM45A,ENSG00000181458
HALLMARK_HYPOXIA,H,,TNFAIP3,ENSG00000118503
HALLMARK_HYPOXIA,H,,TPBG,ENSG00000146242
HALLMARK_HYPOXIA,H,,TPD52,ENSG00000076554
HALLMARK_HYPOXIA,H,,TPI1,ENSG00000111669
HALLMARK_HYPOXIA,H,,TPST2,ENSG00000128294
HALLMARK_HYPOXIA,H,,UGP2,ENSG00000169764
HALLMARK_HYPOXIA,H,,VEGFA,ENSG00000112715
HALLMARK_HYPOXIA,H,,VHL,ENSG00000134086
HALLMARK_HYPOXIA,H,,VLDLR,ENSG00000147852
HALLMARK_HYPOXIA,H,,WSB1,ENSG00000109046
HALLMARK_HYPOXIA,H,,XPNPEP1,ENSG00000108039
HALLMARK_HYPOXIA,H,,ZFP36,ENSG00000128016
HALLMARK_HYPOXIA,H,,ZNF292,ENSG00000188994
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,EGFR,ENSG00000146648
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,GPNMB,ENSG00000136235
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,HBEGF,ENSG00000113070
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,HIF1A,ENSG00000100644
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,LRRK2,ENSG00000188906
REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION,C2,CP:REACTOME,PTK6,ENSG00000101213
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,AQP8,ENSG00000103375
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,ATOX1,ENSG00000177556
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,ATP7A,ENSG00000165240
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CAT,ENSG00000121691
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CCS,ENSG00000173992
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CYBA,ENSG00000051523
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CYBB,ENSG00000165168
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,CYCS,ENSG00000172115
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,ERO1A,ENSG00000197930
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX1,ENSG00000233276
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX2,ENSG00000176153
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX3,ENSG00000211445
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX5,ENSG00000224586
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX5,ENSG00000257770
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX6,ENSG00000198704
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX7,ENSG00000116157
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GPX8,ENSG00000164294
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GSR,ENSG00000104687
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,GSTP1,ENSG00000084207
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NCF1,ENSG00000158517
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NCF2,ENSG00000116701
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NCF4,ENSG00000100365
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NOX4,ENSG00000086991
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NOX5,ENSG00000255346
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,NUDT2,ENSG00000164978
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,P4HB,ENSG00000185624
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX1,ENSG00000117450
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX2,ENSG00000167815
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX3,ENSG00000165672
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX5,ENSG00000126432
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,PRDX6,ENSG00000117592
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,SOD1,ENSG00000142168
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,SOD2,ENSG00000291237
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,SOD3,ENSG00000109610
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXN,ENSG00000136810
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXN2,ENSG00000100348
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXNRD1,ENSG00000198431
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES,C2,CP:REACTOME,TXNRD2,ENSG00000184470
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ADRM1,ENSG00000130706
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,AJUBA,ENSG00000129474
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ARNT,ENSG00000143437
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CA9,ENSG00000107159
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CITED2,ENSG00000164442
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CREBBP,ENSG00000005339
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,CUL2,ENSG00000108094
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EGLN1,ENSG00000135766
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EGLN2,ENSG00000269858
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EGLN3,ENSG00000129521
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ELOB,ENSG00000103363
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,ELOC,ENSG00000154582
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EP300,ENSG00000100393
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EPAS1,ENSG00000116016
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,EPO,ENSG00000130427
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,HIF1A,ENSG00000100644
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,C2,CP:REACTOME,HIF1AN,ENSG00000166135
